site_name,Status,City,Neighborhood,estimated_tons,location_description,latitude,longitude,
1706 Westinghouse,Completed,Pittsburgh,Beechview,0.5,nearly flat terrain at edge of a woods,,,
Sevin Road,Surveyed,Bell Acres,Bell Acres,0.5,,40.5723,-80.18956,
Klemont Ave,Surveyed,Bellevue,Bellevue,1.5,,40.50784,-80.05334,
Taft and Montooth,Completed,Pittsburgh,Beltzhoover,2.5,,40.41400909,-80.00578308,
Letzkus Way,Surveyed,Pittsburgh,Beltzhoover,0.1,,40.41888648,-80.00801801,
847 Gearing,Completed,Pittsburgh,Beltzhoover,6,,40.41440243,-80.00446915,
Bernd Way,Completed,Pittsburgh,Beltzhoover,1,,40.41955536,-79.99836444,
Blanco Way,Completed,Pittsburgh,Beltzhoover,0.1,,40.41732489,-80.00979009,
Boggston Avenue,Completed,Pittsburgh,Beltzhoover,2.5,,40.41987831,-80.00802257,
Brice Way,Completed,Pittsburgh,Beltzhoover,5,,40.41847301,-80.00654089,
Climax at Montooth,Completed,Pittsburgh,Beltzhoover,0.5,,40.419084,-80.00601112,
Industry Street,Completed,Pittsburgh,Beltzhoover,2,,40.42066538,-80.00101745,
Lehr Street,Completed,Pittsburgh,Beltzhoover,5,,40.41866823,-80.00102305,
Loyal Way at Estella,Surveyed,Pittsburgh,Beltzhoover,0.2,,40.4194927,-80.0012291,
Orient Way,Completed,Pittsburgh,Beltzhoover,0.2,,40.41701511,-80.00154316,
Taft at Schuck Way,Completed,Pittsburgh,Beltzhoover,1,,40.41638183,-80.0072745,
Vandalia Street,Completed,Pittsburgh,Beltzhoover,2,McKinley Park,40.41358722,-79.99979771,
Michigan and Gearing,Completed,Pittsburgh,Beltzhoover,2,This was a neighbor request.  The lot is behind her house (713 Gearing Street) near a garage that had been demolished by the city.  Demolition debris was mixed with dumping debris in the lot.,40.41587545,-80.00436685,
Palmetto Way,Completed,Pittsburgh,Beltzhoover,1.5,Reported by council member Krauss. Large amount of household debris and food waste behind an occupied household including a swimming pool filled with stagnant water.,40.41783913,-80.00009715,
704 Delmont Ave,Completed,Pittsburgh,Beltzhoover,2,,40.41616225,-80.00407446,
301 Cedarhurst,Completed,Pittsburgh,Beltzhoover,1.5,,40.41845228,-80.00225901,
Nina Way,Completed,Pittsburgh,Beltzhoover,0.2,Difficult truck access,40.42031119,-80.00556945,
Proxim Way,Completed,Pittsburgh,Beltzhoover,2,Truck access from Climax,40.41985378,-80.00401377,
Ardale Way,Completed,Pittsburgh,Beltzhoover,0.1,,40.41767356,-79.99777734,
Loyal (Haberman to Gearing),Surveyed,Pittsburgh,Beltzhoover,0.1,,40.41880827,-80.00508666,
Oakfield,Completed,Pittsburgh,Beltzhoover,3,,40.41740334,-80.00700712,
Shuck Way,Surveyed,Pittsburgh,Beltzhoover,0.3,Back dump truck into site,40.41609096,-80.00813603,
Frampton,Surveyed,Pittsburgh,Beltzhoover,0.1,,40.41536318,-80.00777125,
Seabolt,Surveyed,Pittsburgh,Beltzhoover,0.2,,40.41546138,-80.00652134,
Cleo Way,Completed,Pittsburgh,Beltzhoover,0.2,,40.41496464,-80.00534653,
Tampa Way,Surveyed,Pittsburgh,Beltzhoover,0.5,EXTREME vegetation over roadway,40.41448522,-80.00080823,
Arcadia,Surveyed,Pittsburgh,Beltzhoover,0.1,,40.41393649,-79.99978899,
Cedarhurst and Banning,Completed,Pittsburgh,Beltzhoover,2,,40.41836473,-80.0045818,
Bolivar,Completed,Pittsburgh,Beltzhoover,3,,40.41619442,-80.00422835,
Cicero Way,Surveyed,Pittsburgh,Beltzhoover,0.2,,40.42141043,-80.00022888,
Montooth and Industry,Completed,Pittsburgh,Beltzhoover,2,,40.41986064,-80.00602215,
Zelda at Estella,Completed,Pittsburgh,Beltzhoover,1,,40.41570638,-80.00029295,
Alley off Zelda,Completed,Pittsburgh,Beltzhoover,3,,40.41529628,-79.99983832,
Althea,Completed,Pittsburgh,Beltzhoover,,,40.41443564,-79.99953791,
438 Althea,Completed,Pittsburgh,Beltzhoover,,"Home, bagster that was filled and couldn't be moved or serviced by DPW.",40.414349,-79.99876812,
818 Estella,Completed,Pittsburgh,Beltzhoover,,,40.41536415,-80.00041633,
Michigan and Estella,Completed,Avalon,Beltzhoover,,,40.41596196,-80.00007033,
Bolivar and Montooth,Completed,Pittsburgh,Beltzhoover,,,40.41617568,-80.00590413,
Sylvania,Completed,Pittsburgh,Beltzhoover,,,40.41720957,-80.00660151,
709 Montooth,Surveyed,Pittsburgh,Beltzhoover,,,40.41632007,-80.00570699,
Gearing and Climax,Completed,Pittsburgh,Beltzhoover,,,40.41912424,-80.00555142,
Loyal (Curtin to Estella),Completed,Pittsburgh,Beltzhoover,,,40.4195632,-80.00045388,
Lehr and Cardiff,Completed,Pittsburgh,Beltzhoover,,,40.41878203,-80.00040024,
Palmetto Way Alley,Completed,Pittsburgh,Beltzhoover,,,40.41799219,-79.99935418,
415 Cedarhurst,Completed,Pittsburgh,Beltzhoover,,,40.41843982,-79.99978333,
Banning,Completed,Pittsburgh,Beltzhoover,,,40.41728626,-80.00441014,
Library Road (88 south)/ Clifton,Surveyed,Bethel Park,Bethel Park,5,Private property.,40.29306,-80.03113,
Aloe at South Mathilda,Completed,Pittsburgh,Bloomfield,1,,40.45844339,-79.94823652,
Juniper at Edmond,Surveyed,Pittsburgh,Bloomfield,1,,40.4576882,-79.95073206,
Juniper,Surveyed,Pittsburgh,Bloomfield,1,,40.45859841,-79.95255328,
Ewing Street,Completed,Pittsburgh,Bloomfield,2,Next to Bloomfield Community Park/Ballfield. Very close to Bloomfield Bridge.  Overlooks Skunk Hollow.,40.46241952,-79.95559662,
Watson Street,Surveyed,Pittsburgh,Bluff,1,,40.43770527,-79.97753537,
Alfred Street,Surveyed,Pittsburgh,Borough of Millvale,1,,40.4775908,-79.983248,
Martle Ave,Surveyed,Millvale,Borough of Millvale,2,,40.4802557,-79.978927,
Yough River 1,Tireless Event Location,Boston,Boston,0.3,Section of the Youghiogheny River along Dead Man's Hollow,40.31204656,-79.82905867,
Catfish Pond - Gully 4,Surveyed,Boston,Boston,0.5,Steeply sloped ravine with tires and other debris high on the slopes. Best to remove it via the private property nearby.,40.31966333,-79.85832363,
Braddock_11th Street,Tireless Event Location,Braddock,Braddock,3,"The meeting and staging site is at boat ramp at the end of 11th Street, but cleaning occurred along both the ascending and descending banks of the Mon River in that area.",40.39508649,-79.86626125,
Menlo Street,Surveyed,Pittsburgh,Brighton Heights,3.5,,40.48987903,-80.02347357,
957 Woods Run,Partially Cleaned,Pittsburgh,Brighton Heights,2,,40.47991794,-80.02746105,
1039 Woods Run,Completed,Pittsburgh,Brighton Heights,0.5,On hillside across from Dyer Street,40.47843779,-80.02808198,
1115 Woods Run,Completed,Pittsburgh,Brighton Heights,0.3,,40.47777561,-80.02935066,
Brighton Heights Blvd,Completed,Pittsburgh,Brighton Heights,0.5,DumpBusters will help with hill/brush area by stairway.,40.47955296,-80.04314857,
Wilksboro Ave Steps,Completed,Pittsburgh,Brighton Heights,,,40.48584069,-80.04535675,
Edgebrook and Timberland,Completed,Pittsburgh,Brookline,1.5,,40.40178231,-80.00254697,
Edgebrook and Heber Way,Completed,Pittsburgh,Brookline,2.5,,40.40079575,-80.00456667,
Heber Way,Completed,Pittsburgh,Brookline,0.5,,40.40068601,-80.00312662,
Dunster Street,Surveyed,Pittsburgh,Brookline,0.5,,40.40268511,-80.00433064,
Lapeer Way,Surveyed,Pittsburgh,Brookline,0.3,,40.40317531,-80.01616186,
Edgebrook Avenue,In Progress,Pittsburgh,Brookline,25,"Long, steep slope leads down into the stream bed. The area where most tires have collected is relatively flat and workable. Tires account for most of the debris, making this an ideal winter project. A trail system was discovered to the north, providing an alternative escape route for tires.",40.39879353,-80.00995695,
Starkamp Street,Surveyed,Pittsburgh,Brookline,0.3,,40.39601798,-80.01483417,
Zimmerman Street,Completed,Pittsburgh,Brookline,5,,40.39980509,-80.00400341,
Pioneer Avenue,Completed,Pittsburgh,Brookline,0.1,,40.40934749,-80.01392758,
Yough River 3,Tireless Event Location,Buena Vista,Buena Vista,0.3,,40.23735291,-79.80641546,
Sigel Street,Completed,Pittsburgh,California-Kirkbride,0.5,,40.46096981,-80.02700335,
Morrison Street,Completed,Pittsburgh,California-Kirkbride,0.8,,40.46071242,-80.01965671,
Chartiers Creek,Tireless Event Location,Carnegie,Carnegie,1,The stretch of Chartiers Creek from 3rd Ave in Carnegie (behind Honus Wagner Apartments)to the Sharp Edge Creekhouse in Crafton.,40.44018458,-80.08090099,
Settlers Cabin Park,Completed,Carnegie,Carnegie,2,Very steep hill leading to an intermittent creek bed.  Terrain levels off near creek bed. Site lies within Chartiers Creek Watershed.,40.41887117,-80.15400192,
Pandora Way,Completed,Pittsburgh,Carrick,0.3,,40.39825677,-79.98456275,
Alplaus,Completed,Pittsburgh,Carrick,10,,40.39875332,-79.98153251,
Alries Street,Completed,Pittsburgh,Carrick,10,,40.40028306,-79.98217559,
Athena Way,Completed,Pittsburgh,Carrick,2,,40.39056015,-79.98438263,
Laughlin Avenue Site 1,Completed,Pittsburgh,Carrick,2.5,,40.40434427,-79.98621624,
Laughlin Avenue Site 2,Completed,Pittsburgh,Carrick,0.1,,40.40510066,-79.97983771,
Poplar Grove 2,Completed,Pittsburgh,Carrick,5,,40.39765554,-79.98118281,
Plummet Way,Completed,Pittsburgh,Carrick,0.3,,40.39695898,-79.98241931,
Saw Mill Run,Completed,Pittsburgh,Carrick,50,,40.397688,-79.99938673,
East Cherry Hill Street,Completed,Pittsburgh,Carrick,0.1,,40.39935163,-79.98325921,
Romance Way,Surveyed,Pittsburgh,Carrick,0.1,,40.40116954,-79.9841497,
Romance Way,Surveyed,Pittsburgh,Carrick,10,,40.4007549,-79.98668975,
Birmingham Avenue,Surveyed,Pittsburgh,Carrick,0.5,,40.40240732,-79.98641617,
Minooka Street,Surveyed,Pittsburgh,Carrick,5,,40.4032325,-79.99391562,
Brook Street,Surveyed,Pittsburgh,Carrick,5,,40.40381053,-79.9947176,
Cloverdale Street,Surveyed,Pittsburgh,Carrick,0.1,,40.39985411,-79.99716914,
Becks Run Road Site 1,Surveyed,Pittsburgh,Carrick,5,,40.39455129,-79.97930027,
Becks Run Road Site 2,Surveyed,Pittsburgh,Carrick,0.3,,40.39425304,-79.9794451,
Dowling Street,Surveyed,Pittsburgh,Carrick,5,,40.39652458,-79.98050726,
Concordia and Meredith,Completed,Pittsburgh,Carrick,0.1,,40.39749486,-79.986561,
Kirk Avenue,Completed,Pittsburgh,Carrick,0.5,,40.3890458,-79.97683263,
Copperfield Avenue,Completed,Pittsburgh,Carrick,0.1,,40.39504523,-79.99079962,
Dellrose Street,Completed,Pittsburgh,Carrick,0.3,,40.39629375,-79.98804427,
E Cherryhill Street at Highnote,Completed,Pittsburgh,Carrick,1,,40.39916429,-79.98461104,
East Meyers St,Completed,Pittsburgh,Carrick,0.5,Steep eroded ravine running down a hillside,40.40132792,-79.9814393,
Becks Run Beneath E Meyers,Surveyed,Pittsburgh,Carrick,1,Debris is visible during fall/early spring when vegetation is low.,40.40061168,-79.98040276,
117 Linnview,Completed,Pittsburgh,Carrick,0.5,,40.4038058,-79.98800287,
2320 Lutz,Completed,Pittsburgh,Carrick,,"Plots 95-M-115, 95-M-119, 95-M-108, 95-H-370 are all privately owned. Where the road would have continued straight is all part of the road (city property).",40.38945073,-79.98414874,
Poplar Grove 1,Completed,Pittsburgh,Carrick,,,40.39747828,-79.98206117,
Reddour Street,Completed,Pittsburgh,Central Northside,0.3,,40.45679838,-80.00813938,
Test,Completed,Pittsburgh,Central Northside,5,,40.45677666,-80.01332044,
Bolair Way at Parkview,Surveyed,Pittsburgh,Central Oakland,0.5,,40.4365355,-79.95144821,
Dawson and Diulus Way,Surveyed,Pittsburgh,Central Oakland,0.5,,40.43899138,-79.95157695,
Oakland Square,Surveyed,Pittsburgh,Central Oakland,0.5,,40.43693359,-79.95093322,
Driftcombers-Chapel Harbor,Tireless Event Location,Blawnox,Chapel Harbor,1,,40.48491327,-79.88177794,
Centralia and Presburry,Completed,Pittsburgh,Chartiers City,0.5,,40.45670125,-80.06878235,
Alora Way,Completed,Pittsburgh,Chartiers City,3,"Alley way has dumping of vegetation, tires, and other debris spread out over 0.25 miles, on multiple private properties and blocking a set of city steps.",40.45737085,-80.06775239,
Isoline Street,Completed,Pittsburgh,Chartiers City,0.3,,40.45614131,-80.07004836,
Creve Way,Completed,Pittsburgh,Chartiers City,1,Vegetation and remodeling debris to side of alleyway,40.45767239,-80.07142493,
Gilpin Way,Completed,Pittsburgh,Chartiers City,0.3,,40.45684455,-80.07159908,
Youghiogheny and Middletown Road,Completed,Pittsburgh,Chartiers City,0.3,"Dumping of household trash behind jersey barriers, no dumping sign present.",40.46116749,-80.07336015,
ConRail Service Road,Surveyed,Pittsburgh,Chartiers City,4,"Multiple piles of dumping, with a large one where the service road dead ends after ~0.25 miles",40.46066106,-80.07087984,
Seymour Street/Chateau Trail,Tireless Event Location,Pittsburgh,Chateau,3,Cleanups along the Ohio River/Chateau Trail involve hitting several pockets where trash accumulates along both the descending and ascending shores of Ohio River and Bruno Island.,40.45956576,-80.03472006,
Chateau Trail,Tireless Event Location,Pittsburgh,Chateau,1,Cleanups in this area hit several pockets of accumulated debris along the ascending and descending banks of the Ohio River and Bruno Island.,40.44624212,-80.02189911,
Westhall,Tireless Event Location,Pittsburgh,Chateau,,,40.47205663,-80.04329144,
837 South,Surveyed,Clairton,Clairton,2,,40.29184,-79.87524,
Ridge and Desiderio,Surveyed,Clairton,Clairton,1.5,,40.28377,-79.89965,
Baldwin,Surveyed,Collier,Collier,2,,40.41011,-80.16103,
Scotts Run Road site 1,Surveyed,Collier,Collier,2.5,,40.41646,-80.13329,
Scotts Run Road Site 2,Surveyed,Collier,Collier,1.5,Private property,40.40697,-80.13019,
Scotts Run Road site 3,Surveyed,Collier,Collier,1.5,,40.40405,-80.12806,
County Road,Surveyed,Collier,Collier,1.5,,40.38939,-80.15339,
471 GreenWay Drive,Completed,Pittsburgh,Crafton Heights,1,"Wooded hillside, tires located in the gully across from 471.",40.44850569,-80.0532179,
City Way,Completed,Pittsburgh,Crafton Heights,0.5,,40.44647349,-80.05895783,
DuBois Street,Completed,Pittsburgh,Crafton Heights,0.5,Dumping is right over the guardrail up the roadway from 804 DuBois.,40.44998938,-80.05110566,
Fairston Street,Surveyed,Pittsburgh,Crafton Heights,0.3,"There are old NO DUMPING signs, indicating it has been a dumping hot spot. Some dumping visible. Very steep wooded hillside. Thick vegetation (vines and knotweed) obscure an accurate assessment. Return in fall 2013 for reassessment.",40.45061099,-80.05259522,
Municipal Street Dead End,Completed,Pittsburgh,Crafton Heights,1,"After Municipal street ends, continue onto the lower foot path. Dumping is to the left over hillside, mostly near the path.",40.45015969,-80.05403999,
Ridley Way,Completed,Pittsburgh,Crafton Heights,0.3,,40.44124074,-80.05540618,
Cliffside Park,Completed,Pittsburgh,Crawford Roberts-Hill,3.5,,40.44738926,-79.98419261,
Diaz Way,Completed,Pittsburgh,Crawford Roberts-Hill,0.8,,40.43932095,-79.9783616,
Colwell Street,Completed,Pittsburgh,Crawford Roberts-Hill,1,,40.43898321,-79.97796452,
Wyandotte Steps,Completed,Pittsburgh,Crawford Roberts-Hill,5,,40.43892197,-79.97615672,
Arcena Street,Surveyed,Pittsburgh,Crawford Roberts-Hill,2,,40.44771585,-79.98326993,
Backtown Rd and Rarine,Surveyed,Crescent,Crescent,1,,40.56187,-80.22907,
Crescent Blvd and Rarine,Surveyed,Crescent,Crescent,0.3,,40.55955,-80.22493,
Spring Run Road,Surveyed,Crescent,Crescent,2,,40.5522,-80.23116,
Mon Wharf,Tireless Event Location,Pittsburgh,Downtown,2,,40.43586385,-80.00044143,
837 North,Surveyed,Dravosburg,Dravosburg,1,,40.35597,-79.87658,
Lewis Run Road,Surveyed,Dravosburg,Dravosburg,10,,40.32974,-79.93736,
Duck Hollow East,Completed,Pittsburgh,Duck Hollow,100,Green space located between CSX Railroad and Monongahela River.  Future site of Duck Hollow Three Rivers Water Trail and land trail.,40.41464,-79.916149,
Duck Hollow,Tireless Event Location,Pittsburgh,Duck Hollow,2,,40.41515969,-79.91471267,
Driftcombers-Glenwood Bridge,Tireless Event Location,Pittsburgh,Duck Hollow,0.3,,40.39629612,-79.93581211,
3rd Street,Surveyed,Duquesne,Duquesne,3.5,Private property,40.37647,-79.85093,
Hamilton Street,Surveyed,Duquesne,Duquesne,2,Private property,40.37307,-79.85204,
Homestead Duquesne Road,Surveyed,Duquesne,Duquesne,4,Private property,40.36872,-79.85964,
Lizardi Way,Completed,Pittsburgh,Duquesne Heights,2,,40.43883896,-80.03043365,
Athlone,Completed,Pittsburgh,Duquesne Heights,2,,40.4294491,-80.02001083,
Sweetbriar Street,Completed,Pittsburgh,Duquesne Heights,2.5,,40.43198421,-80.02302015,
Wyola Street,Completed,Pittsburgh,Duquesne Heights,6,,40.43333817,-80.02435303,
Greenleaf Street,Surveyed,Pittsburgh,Duquesne Heights,4,,40.44009782,-80.03086305,
Bradley Street,Surveyed,Pittsburgh,Duquesne Heights,1.5,,40.44032441,-80.02795554,
Grandview Avenue,Completed,Pittsburgh,Duquesne Heights,1,,40.44080822,-80.02469665,
Idlewood Ave Hillside,Completed,Pittsburgh,East Carnegie,0.5,"There is a no dumping sign, appears to have been a dumping hot spot in the past.",40.41825011,-80.0723505,
Bell Rd and Chartiers Ave,Completed,Pittsburgh,East Carnegie,0.3,"Past hot spot, signs and lots of litter.",40.42370134,-80.08040249,
Chartiers Ave near Crafton DPW,Completed,Pittsburgh,East Carnegie,0.5,,40.42377354,-80.08343338,
Idlewood Rd near Saxman Rd,Completed,Pittsburgh,East Carnegie,0.3,Tires were in standing water.,40.42295483,-80.07388472,
Second Street,Surveyed,East Deer Township,East Deer Township,0.5,,40.57595,-79.77837,
Frankstown Ave,Completed,Pittsburgh,East Hills,4,Empty lot along Frankstown Ave. between a business and a house.,40.45783863,-79.87635758,
Karl Street,Surveyed,Pittsburgh,East Hills,0.5,,40.45118572,-79.88288557,
Wilkinsburg Avenue Site 1,Surveyed,Pittsburgh,East Hills,1,,40.45739431,-79.87580455,
Rolfe Street,Surveyed,Pittsburgh,East Hills,0.5,,40.4548187,-79.87620688,
Wilkinsburg Avenue Site 2,Surveyed,Pittsburgh,East Hills,0.5,,40.45414927,-79.87594939,
Wilkinsburg Avenue Site 3,Surveyed,Pittsburgh,East Hills,1.5,,40.45370842,-79.87596548,
Dornbush Street,Surveyed,Pittsburgh,East Hills,0.3,,40.45429417,-79.87877375,
Tokay Street,Surveyed,Pittsburgh,East Hills,0.5,,40.45249403,-79.8779074,
Seagirt Street,Surveyed,Pittsburgh,East Hills,1,,40.45137962,-79.87901247,
Fahnestock Avenue,Surveyed,Pittsburgh,East Hills,0.5,,40.45053871,-79.8783969,
Hackett Way,Surveyed,Pittsburgh,East Hills,1.5,,40.45032848,-79.88388068,
Sickles Street,Surveyed,Pittsburgh,East Hills,0.5,,40.45228788,-79.88278902,
Fargo Way,Surveyed,Pittsburgh,East Hills,3,,40.45263077,-79.88220162,
Haverhill Street,Surveyed,Pittsburgh,East Hills,2,,40.45325328,-79.881751,
East Hills Drive,Surveyed,Pittsburgh,East Hills,0.5,,40.45295325,-79.87350589,
Omega Place,Completed,Pittsburgh,East Liberty,,large vacant lot and no exit street with boarded up houses that may be on the demo list,40.46317656,-79.91858482,
Little Sewickley Creek,Tireless Event Location,Edgeworth,Edgeworth,0.5,,40.55434278,-80.2069608,
2010,Surveyed,Elizabeth,Elizabeth,3.5,Private property,40.27945,-79.85316,
2010 and 48 Junction,Surveyed,Elizabeth,Elizabeth,1,,40.28419,-79.83841,
48 South,Surveyed,Elizabeth,Elizabeth,1.5,,40.26402,-79.85272,
Mill Hill,Surveyed,Elizabeth,Elizabeth,0.5,,40.27846,-79.85576,
Long Hollow Road,Surveyed,Elizabeth,Elizabeth,0.5,Dumping from houses on hill on right side. Close to intersection w/ Pine View Dr,40.2273,-79.82062,
Key Hollow,Surveyed,Elizabeth,Elizabeth,1,,40.20712,-79.86597,
Round Hill Road,Surveyed,Elizabeth,Elizabeth,5,,40.24095,-79.83911,
Renzie Road,Surveyed,Elizabeth,Elizabeth,1,Several car oil buckets.,40.30549,-79.82221,
Renzie Road and Turkeyfoot,Surveyed,Elizabeth,Elizabeth,0.5,,40.30613,-79.81859,
Boyds Hollow Rd,Surveyed,Elizabeth,Elizabeth,1,Private property,40.26616,-79.80439,
Patterson Road,Surveyed,Elizabeth,Elizabeth,1.5,,40.26101,-79.8122,
Pine View,Surveyed,Elizabeth,Elizabeth,0.5,,40.24007,-79.81551,
Forest Hill Road,Surveyed,Elizabeth,Elizabeth,2,Private property.,40.23073,-79.8083,
Greenock and Wexford Ave,Surveyed,Elizabeth,Elizabeth,2.5,,40.31162,-79.80748,
Greenock,Surveyed,Elizabeth,Elizabeth,0.5,"On Greencok Road, between Goldview and Rouzie road.",40.3026,-79.81445,
West Smithfield,Surveyed,Elizabeth,Elizabeth,2,Private property.,40.30683,-79.83808,
Attica Street Site 1,Completed,Pittsburgh,Elliott,2,,40.4422802,-80.03621476,
700 Block Attica St.,Completed,Pittsburgh,Elliott,1.5,,40.4419922,-80.0363589,
Advent Street,Completed,Pittsburgh,Elliott,0.3,,40.44446216,-80.03287738,
Wymore Street,Completed,Pittsburgh,Elliott,0.5,,40.4402448,-80.04177428,
Steuben Street,Completed,Pittsburgh,Elliott,0.5,,40.44154719,-80.03567225,
Calcutta Way,Surveyed,Pittsburgh,Elliott,0.5,"Dumping is directly over guardrail close to the road, within right-of-way.",40.44346261,-80.04263524,
Bond St,Completed,Pittsburgh,Elliott,2,,40.44861581,-80.03996551,
Sloan Way Site 2,Completed,Pittsburgh,Esplen,2,,40.46395333,-80.05337751,
Radcliffe Street,Completed,Pittsburgh,Esplen,1.5,,40.46105144,-80.05440748,
Sloan Way Site 1,Completed,Pittsburgh,Esplen,6,,40.46184325,-80.05191035,
Esplen Street Site 1,Completed,Pittsburgh,Esplen,2.5,,40.46069635,-80.05111909,
Saginaw Street,Completed,Pittsburgh,Esplen,1,,40.46078206,-80.04987991,
Esplen Street Site 2,Completed,Pittsburgh,Esplen,0.5,,40.46000249,-80.04981554,
Earl Street,Completed,Pittsburgh,Esplen,1.5,,40.45992494,-80.04845298,
Village Rd and Carr Street,Completed,Pittsburgh,Fairywood,2,"Dumping is near Amethyst Court apartments, next to a fenced in dumpster. There is a gravel access point to a cleared area in the woods, where dumping has been accumulating.",40.44836901,-80.07842302,
Broadhead Fording and Mazette,Completed,Pittsburgh,Fairywood,2,Dumping is over a guardrail into a marshy area. All dumping with have to be hauled up the guardrail.,40.44620027,-80.08515062,
Fairywood Street and Broadhead Fording,Completed,Pittsburgh,Fairywood,0.5,"A long wooded strip of land, excessively littered to the point of dumping. Will have to fill trash cans and carry them out. Tedious.",40.44893478,-80.08189916,
Southern Windgap Woods,Completed,Pittsburgh,Fairywood,1,"Wooded hillside, over guardrail. Tires and trash spread out over at least 1000 ft of woods. Concentrated dumping of remodeling/windows appears to be coming from behind white house with green trim, 138 W Prospect.",40.44900454,-80.07061243,
Industrial Hwy,Completed,Pittsburgh,Fairywood,1.5,Dumping is thrown over guard rail and must be carried up steed embankment.,40.44528604,-80.08623361,
Windgap Pulloff,Completed,Pittsburgh,Fairywood,0.5,"Old industrial driveway, gated. Nearby on stretch of windgap, 5 tires and litter.",40.45436022,-80.07890582,
Summerdale: between MayFair and Windgap,Completed,Pittsburgh,Fairywood,1,Wooded area with dumping scattered  over 1000+ft area.,40.45721875,-80.08209228,
N Duane Ave Hillside,Completed,Pittsburgh,Fairywood,0.5,"Wooded area owned by Chartiers Nature Conservancy. Trails give easier access to remodeling dumping, several hundred feet from access point.",40.442278,-80.0779134,
Eric Way Behind 423 Fairywood,Completed,Pittsburgh,Fairywood,1,"Collapsed garage filled with dumping, covered with vegetation behind a private abandoned residence. 423 Fairywood street. Reported to 311 on 7/26/2013",40.44752611,-80.08059829,
Camp Meeting Road,Surveyed,Findlay,Findlay,0.5,Vehicle TurnaroundPull Off,40.50607,-80.30256,
Point Park Road,Surveyed,Findlay,Findlay,1,Off from Rt. 30 W,40.46797,-80.2952,
Washington Road,Surveyed,Findlay,Findlay,1,Small stream close by at bottom of small hill,40.48269,-80.2951,
Robinson Road,Surveyed,Findlay,Findlay,5,,40.45601,-80.26849,
Potato Garden/ Burgettstown Road,Surveyed,Findlay,Findlay,1,,40.45071,-80.29702,
Spring Run Road Extention,Surveyed,Findlay,Findlay,2.5,Right of way,40.52266,-80.26847,
Moon Clinton Road site 1,Surveyed,Findlay,Findlay,6,,40.50851,-80.2723,
